,index,Class,Text
18,398,Household,"Asian Hobby Crafts Mini Flower Making Kit Asain hobby crafts DIY flower making kit contents: stocking, pearl shining pollens, velvet leaves, flexible wire, green floral tape, green tape wire."
19,415,Household,"Vortex-RC 5mm Biofoam Depron Extruded Polystyrene Foam Sheets 30""X20"" Size 10 Sheets. Depron is a brand name for Extruded Polystyrene (XPS) closed cell foam in sheet form, It is a fantastic medium for building model aircraft, and also a popular medium for architectural model building, as well as model boats and prototype design, XPS foam is stronger than traditional EPS Themocol and can be further strengthened with carbon fiber or wood strips. Strength to weight ratio and rigidity is perfect for RC airplanes Easy to cut with precision by knife Easily sandable Sheets are flat and have a smooth finish."
20,427,Household,"Alp Nitrile Self Adhesive Insulation Foam Tape, ECOTAPE, Class O, Width 2 inch x Thick 3 mm x Length 9.1 mtr, Pack of 1 pcs Item Package Quantity:1   Flexible elastomeric insulation for ducts and pipes. It is ideal for using in Window Acs, Split Acs, Plumbing etc. Used in heating, ventilation, acr systems, refrigeration and air conditioning etc. Easy to put on pipes. Please note image, size and color may slightly vary due to photographic lighting sources or photograph angle or your monitor settings or make."
22,461,Household,Sai Mosaic Art Pastel Mix tumble dark blue Small glass mosaic tiles in beautiful assortment of pestal colour family.
28,520,Household,"Vardhman Stainless Steel Pony Needle Set, Green These are Silicon Stamps which can be used on Fabric , Paper , Wood , by Means of Poster or Fabric Colors. These Are Improved Version of our Old Age Wooden Blocks which we Earlier used for Block Printing . Are Easily Washable and are Long Life. Using a transparent stamp allows for precise positioning, place onto an acrylic block and ink up your stamp using an ink pad simply peel these stamps from the plastic backing and pop them onto an acrylic block , this clear stamp sticks right onto the block! Pick out your ink pads and gently press this stamp against it. Then just pop it onto your crafts."
30,584,Household,Party Propz Ribbon for Balloons/ Gift Wrapping / Crafts Decoration (Multicolour) - Set of 6
34,718,Household,Marical High-Lighting Lives Portable Plug Adjustable LED Wall Light with 5 W Bulb and G9 Holder (Rose Gold/Black Nickel Finish) Twisted Tungsten Designs introduces this quirky and designer wall plug lamp which can be used easily anywhere in your space which has a three pin socket. It is a direct LED light which serves the purpose of decorative and functional lighting.
35,730,Household,"DecorNation Carissa Solid Wood Set of 3 Nesting Table (Sheesham Wood, Brown)"
38,830,Household,"Hangit FDPH5513 Polyester Hammock (White) 55''x 82'' large polyester rope hammock. Made out of 100 percent polyester UV resistant rope which is 7mm thick tightly twisted and high glossy finished hardwood spreader bars. This premium hammock is a highly comfortable and offers relaxation and comfort at the highest level. The 4.5'ft wide hammock accommodates 2 adults comfortably and a child too under the supervision of an adult. The hammock withstands a total weight capacity of nothing less than 450 lbs. and can be mounted between 2 trees, poles or on a hammock stand. And it also includes complete set of hanging hardware to mount anywhere you want it."
40,883,Household,"Yardwe Seat Rectangular Table Cover Waterproof Garden Bench Cover Patio Furniture Sofa Loveseat Cover 170x94x70cm DescriptionWeatherproof and resistant case with sealed seams equipped with eyelets and ropes, can be the protective sleeve securely fastened. The protective cover provides optimum protection against dirt and weathering.Features - Color Black.- Material: Polyester.- Dimensions: 170 x 94 x 70cm.Package Including1 x Seat Rectangular Table Cover Waterproof Garden Bench Cover Patio Furniture Sofa Loveseat Cover 170x94x70cm"
41,898,Household,MBTC Clark Seat And Back Cushion Folding Chair (Set Of 2) Made from Mild Steel
43,960,Household,"Urbancart Portable Outdoor Patio/Cafeteria Table and Folding Chairs Furniture Set (Blue) This Is Our 3 Pieces Table And Chairs Set.It Has One Folding Table With 2 Chairs. It Will Bring New Life To Your Patio Or Deck With The Table And Chairs Set. Its Durable, And Steel Frame Provides A Sturdy Foundation For This Delightful Set. With Its Strong Tabletop And Stackable Chairs, The Table Furniture Set Is The Perfect Way To Enjoy A Cafe-Style Experience Right Outside Of Your Door. And It Will Be Simple For Storage And Transport For Their Folding Feature. You Can Put It In Your Garden,Patio Or Pool Side As You Want. Do Not Hesitate, Just Buy One! This Unique Bistro Set Is Of The Finest Quality So You Can Enjoy Unique Durability And Strength. Bring The Comfort To Your Home ,Add To Your Cart Now!"
46,993,Household,"FurniFuture Familia Cane Furniture Outdoor Patio Sofa Set with Cushions - (Golden Brown) Designed And Manufactured In India By High Skilled Designers, High Quality Durable Materials Used To Manufacture This Piece Of Art. Highly Durable And Resistance To Any Kind Of Weather Conditions Give It A Unique Proposition Over Other Product Available In The Market. The Cane Is Manufactured With Hdpe (High Density Polymer) Material Which Is Of High Quality And Comes With Uv Protection Which Protects The Furniture Even In Intense Sun Heat. Typical Garden Furniture Which Is Available Online And Other Offline Markets Does Not Have Uv Protection Which Makes The Life Of The Product Very Short And Results In Hardening And Breakage Of Cane."
48,1012,Household,"Kiddale Baby Canopy Mosquito NET for Double Bed Including Full Hanging Kit, Ideal for Indoors or Outdoors for Covering Beds, Cribs, Hammocks (White, Twin/Full) Color:Conical Bed Net - White   PREMIUM QUALITY MOSQUITO NET : It has the FINEST holes (300 per inch2) and is made of premium & durable materials.It is made of 100% polyester. This is what really matters for a good Mosquito Net: the size, mesh and overall quality. GIVE YOUR BEDROOM A MAKEOVER WITH THIS EXTRA LARGE MOSQUITO NET: Bored with your bedroom? This Mosquito Net gives an instant touch of elegance and romance to the decor. It is perfect as tent around a baby bed or covering a Texas king size bed or any size in between. This Mosquito Net has an OPTIMIZED design: it is BIGGER than most other nets and has TWO openings for easy entrance. Also a great GIFT. PEACEFUL NIGHTS THE NATURAL WAY: Get a good night’s sleep mosquitos free and without bug spray on your skin! Whether hanging the curtains over a queen or king size bed, or hammock, you can rest easy. Knowing the extra fine mesh fabric serves as a natural mosquito repellent. This insect screen allows freedom from harsh chemicals, while providing proper air circulation and keeping out the tiniest of bugs. It keeps you from being eaten alive. Non-impregnated. SET UP SO EASY A TODDLER CAN DO IT: The 1 point hanging system allows for easy setup with no assembly skills needed. You can easily adjust the height. The sturdy automatic pop up ring holds the net in place with ease. An internal loop makes it possible to hang a lamp inside. OTHER FEATURES : Size :1250*250*65cm, Strong and powerful fabric,foldable and insecticide treated."
50,1049,Household,"TCLPVC 3/7 Feet Bamboo Chick Window Closer/Curtains For Balcony, Windows, Outdoors, Door, Kitchen, Divider Room US - 1001 Supports 09888774040 For Customizes Sizes What Up Only Company Dept Of Custom Orders Brand - Tclpvc / CASH ON DELIVERY / PRIME DELIVERY / COOL YOUR HOME BEFORE THIS SUMMERTclpvc Economy 3/7 feet Bamboo Chick Window Closer - Curtains For Balcony - Windows - Outdoors - Door - Kitchen - Home - Office - Hotel - Resorts – Blinds - Shades – Screens - Patio Umbrellas - Canopies - Shade - Sunscreen Fabric - Screens - Protection - Balcony Privacy - Protective Screens - window blind curtain – Verandas - Public Areas - Supports 09888774040 For Customizes Sizes What Up Only Company Dept Of Custom Orders Brand - TclpvcDoor Curtain - Fly Screen - Divider Room US - 1001"
51,1060,Household,"Classic Accessories 59992 Terrazzo Patio Offset Umbrella Canopy Cover Terrazzo patio furniture covers by Classic Accessories offer high end style in medium weight protection. Designed to keep your patio furniture looking it's best year round. All Terrazzo covers are backed by a . Find out below why buying a cover from us is one of the best choices you can make. When you buy a Classic Accessories grill or patio furniture cover you are not just getting a cover; you're also purchasing peace of mind. Not only will your grill and patio furniture be protected from the elements, but you'll be protected with the easiest in the industry. If your cover fails, for any reason, just look for us online and email our department a picture of the problem and we'll send you a new one. d."
52,1070,Household,Tclpvc WATERPROOF double cool 3/7 feet Bamboo Chick Window Closer - Curtains For Balcony - Windows - Outdoors - Door - Kitchen - Home - Office - Hotel - Resorts – Blinds - Shades – Screens - Patio Umbrellas - Canopies - Shade - Sunscreen Fabric - Screens - Protection - Balcony Privacy - Protective Screens - window blind curtain – Verandas - Public Areas - Door Curtain - Fly Screen - Divider Room US - 392 Tclpvc double cool 3/7 feet Bamboo Chick Window Closer - Curtains For Balcony - Windows - Outdoors - Door - Kitchen - Home - Office - Hotel - Resorts – Blinds - Shades – Screens - Patio Umbrellas - Canopies - Shade - Sunscreen Fabric - Screens - Protection - Balcony Privacy - Protective Screens - window blind curtain – Verandas - Public Areas - Door Curtain - Fly Screen - Divider Room US - 392
53,1073,Household,TCLPVC JKS82 Economy 6/7ft Bamboo Chick Window Curtains/Protective Screens for Balcony/Windows/Outdoors/Door/Kitchen/Home/Office (72x84 Inches) Cool your home before this summer product made with heavy duty cloth and bamboo. TCLPVC Economy 6/7 feet bamboo chick window closer - curtains for balcony - windows - outdoors - door - kitchen - home - office - hotel - resorts - blinds - shades - screens - patio umbrellas - canopies - shade - sunscreen fabric - screens - protection - balcony privacy - protective screens - window blind curtain - verandas - public areas - door curtain - fly screen - divider room us - 1025.
54,1106,Household,"DriftingWood Sheesham Wood Folding Coffee Table for Living Room| Patio Table | Garden and Outdoor | Natural Brown Color:Brown   DriftingWood brand helps you to get an adequate look in your house. Classic collection of furniture sparkle your home instantly. This square shape table is crafted from the sheesham wood and comes in a natural Brown finish. A foldable table give you facility to fold it and can be kept at a place with minimum space. This can be placed in your room, living area, dining, garden or office for a stunning look.Assembly : We encourage self assembly of products to help customers better & completely understand ther product they buy."
55,1107,Household,myWoodKart Wooden Round Shape Stool/Table Made from Natural Wood Blocks 16 inch Round shape stool made up of natural wood logs.
56,1124,Household,"UrbanWood Sheesham Wood Patio Dining Set | for Garden and Outdoor | Foldable Coffee Table and Chair | Brown Color:1 Table and 2 chair   Your house with this lovely and classic piece of furniture set from the wide collection of Brookwood . This furniture set comes in a package of a folding table and two folding chair. This table and chair set is designed with the standard quality wood material. They will be perfect for contemporary theme decoration. You can use this for bedroom, living room as well as for your garden to feel comfort and take complete rest. The wooden back is slanted which helps you to sit with ease and comfort. Assembly required."
57,1146,Household,"UrbanWood Sheesham Wood Patio Dining Set | for Garden and Outdoor | Foldable Coffee Table and Chair | Brown Color:1 Table and 2 chair   Your house with this lovely and classic piece of furniture set from the wide collection of Brookwood . This furniture set comes in a package of a folding table and two folding chair. This table and chair set is designed with the standard quality wood material. They will be perfect for contemporary theme decoration. You can use this for bedroom, living room as well as for your garden to feel comfort and take complete rest. The wooden back is slanted which helps you to sit with ease and comfort. Assembly required."
59,1174,Household,"HOME BUY 4 Seater Folding Picnic Table & Chair Set Portable Aluminum folding camping picnic table This table durable but lightweight and with its aluminum top it is very easy to wipe clean. Folds flat for easy storage or transport Combination of aluminum and steel parts for lighter weight and stronger construction Durable high impact plastic table top Quick set-up Suitable for indoors and outdoors Heavy-duty, high impact plastic Tilt and lock Provides you the extra seating place. Seating for 4 adults Reinforced seat structure Material: ABS table top, Aluminum frame Tabletop size: 34""L × 26.5""W Seat size: 11.8""L x 11""W × 16""H Fully expanded size: 53.5""L ×34 ""W ×26.7""H Folded size: 34""L × 13.4""W Weight:Approx.9kg/ 19.8 lbs Maximum load for table: 50kg/110 lbs Maximum load for seat:90KG"
61,1190,Household,"YUTIRITI 10 Layer Shoe Rack with Cover Space Saver Storage Organiser A Stylish Way To Keep Your Fashionable Heels and Groovy Sneakers Organized.This Spacious and Durable Four Layer Shoe Rack Can Hold Your Many Shoes, Sneakers, Slippers, Heels. Its Also Lightweight and Easy-To-Assemble."
62,1239,Household,"Iron RMA Shoe Rack - 4 Layer Good to look at and awesome for its functionality,TRENDY ONLINE brings you the best range of solid iron and modular furniture right to your doorstep, wherever you are. Whether you are looking for wooden furniture for your living room or a unique set of swings for your outdoors, you will find hundreds of options across a wide decent range. Apart from furniture, they also serve your basic home furnishing, decor and kitchen needs. TRENDY ONLINE promises you the products that will last a lifetime whether it is a laptop table, decorative home lighting fixtures or wooden home accents for your living room, spacious wardrobes or bright bedspreads for your bedroom, spice racks or kitchenware for your kitchen."
63,1258,Household,"The Attic French Bar Cabinet (Walnut) A classy product made of premium solid wood. Solid wood is a living, breathing material. It ages over time like any natural material. Natural solid wood has characteristics which include knots, variations in grain, and colour differences. Seasoning and drying the wood reduces splitting and warping, but some natural movement is to be expected. Changes in climate and weather cause solid wood furniture to move. Knots are imperfections that happen during the growth of the tree. Grain differences are caused by the way the tree is cut. Each board will have a different grain direction. Natural colour variations are created during the tree growth. The colour of the wood is determined by where the piece was positioned within the tree. Lighter pieces are the ones closer to the bark while the darker pieces are the ones closer to the centre of the tree."
64,1273,Household,MBTC Magma Bar Stool in Black (Set of 2 Pcs) A nice addition to the furniture of your bar would be this MBTC cafeteria and bar chair that would help you make changes in the seating arrangement.
68,1456,Household,"Royaloak Divine Single Seater Rocking Recliner (Brown) Size:Single Seat   Lounge and relax for hours with this comfortable and affordable recliner from Royal Oak. The recliner has several reclining positions and can be adjusted to your favourite angle easily. The recliner has a soft suede fabric, which is plush and soft-to-the-touch. The recliner is crafted from excellent quality hardware and made to last for long."
70,1507,Household,"Cello Scholar Junior  Kid's Desk (Red) Color:Red   Cello furniture brings convenience and style to your interiors. Elegant and functional furniture, this study table is well crafted and designed for your junior kid. It can be easily dismantled and reassembled which makes it easy to transport for outdoors, your child can study outdoors comfortablyIt comes in trendy colorsIt also has games on the table top such as Ludo, Snakes N Ladders as fun time for your kids"
71,1528,Household,"Mollismoons Without Beans Luxury Fur and Leather Bean Bag, Large (White) Now enjoy the comfort of a xxxl bean modek in fur .you can sit along side your near and dear one's and enjoy a nice conversation or just watch a movie together. Replace your existing couch with this extremely comfortable bean fur bag that initiates a addition in your living space. Giving you a great choice of luxury bean bags to perfectly suit your lifestyle & living space. We also like to exceed expectations, so there are a few additional steps we take as standard that you won't find with other bean bags...  double stitched for extra strength.  double zipped for extra security.  zip heads are covered - prevents scratches on floor."
72,1531,Household,"Zaid Collections Fashion Doll Furniture Sets with Small House (12 Accessories, Multi Colours) This Is A Amazing toy For Girls In Which A Play Set Will Let Your Kids Have Fun While They Are Learning About Maintaining Home And Kitchen Activities As Well As Teaching Them About Safety In The Home. This Set Comes In A Range Of Styles And Suit A Range Of Ages Including Babies And Toddlers. This Is The Perfect Gift For The Little One In Your Life With A Big Imagination This Play Home Set Would Be Perfect For Your Child. Your Child Will Be Busy In Playing With This Toy. There Are Many small Pieces. not for under 3 years.no battery required. Note : All Products Are Dummy In The Picture Only For Kids Play."
73,1553,Household,"Trance Home Linen Trance 200 Gsm++ Terry Fabric Waterproof King Size Mattress Protectors(White, 78x72-inch) Size:78"" x 72"" King Size                                                                                 |                            Color Name:White   Trance water proof mattress fitted sheet keeps your mattress protected. Its advanced covering provides protection from stains, spills, moisture including incontinence and sweat. Its water proofing from the inside is adequate to protect the mattress and the outer side gives a fabric feel. This complete fit sheet spreads on the mattress at ease providing you all the comfort and style length x breadth: 78 x 72-inch (198 cm x 180 cm) height: 9-inch; (22 cm). Ideal for use with infants and elderly patients. Use a front load washing machine(not with blades).Use mild detergent.Wash only this product separately dry with inside laminated inwards.Frequent washing of the product will keep the product prevented from dust, mites and allergens."
75,1595,Household,"Comfy Bean Bags Bean Chair Kids Bean Bag Without Fillers Cover (Multicolor) Size:Standard   Amuza Bean Chairs –Size: Small for Kids – 0-3 Years –Cover Only, Without Beans –by Comfy Bean BagsWhy should adults have all the fun!! Once a Mom of a three year old called us and said that Anwesha her daughter told her that she needed a chair to relax. While the lady was sitting on her bean bag her daughter said she also wanted a chair like that because she was too stressed out after school. Oops we were shocked with this requirement too. She specifically mentioned that life was too stressful and managing school and then playing at home often made her tired. Yes even we couldn’t stop laughing after hearing this conversation. Thanks to Anwesha we were forced to invent Amuza, the fun chair for the little ones.Proudly designed by Scotty & Travis Amuza range of Bean Bag covers are digitally printed to add up to your décor and add fun to your little ones room. Modern prints are imprinted on A class export quality leatherette which makes this bean bag very hard to ignore. The designs color and textures of Amuza makes it the ultimate home accessory.Small Bag is suitable for you if you weigh between 0 to 15 kgs and are about .5-2 feet tall. The comfort level offered by this small sized bean bag is basic. The dimensions of the product are mentioned above.A made in India product, Comfy Bean Bag is made with high quality raw material, premium zippers, netted fabric and hand selected Leatherette (also called Faux Lather or Artificial Leather) that is double stitched for maximum strength and durability.In case you need us to answer any more queries about the product, please do not hesitate to write your question in the ""question & answers"" tab below. We will be more than glad to assist you and help you help you with your purchase."
76,1644,Household,"Cello Scholar Senior Kid's Desk (Orange) Color:Orange   Cello furniture brings convenience and style to your interiors. Elegant and functional furniture, this study table is well crafted and designed for your child."
80,1836,Household,"INDIAN DECOR Rectangular Kitchen Cart with MDF Wood Top and 3 Tiered Storage Area , 28 Inches , Black Frame construction with black sand metal with 3 tiered storage area. The tray top and wine glass make this bar and kitchen serving cart the perfect entertainment piece."
81,1843,Household,"INDIAN DECOR Vintage Style MDF Wood Metal 3 Tiers Kitchen Serving Trolley with Wine Rack This Industrial Vintage Style Serving Trolley creates a distinctive and modern atmosphere and adds more storage space to your home. Perfect for entertaining, the trolley is ideal for holding food or wine and transporting items from room to room. 3 shelves provide ample storage space for the food, plates, etc. The top shelf is removable to be used as a food tray. 4 swivel castors (2 with brake) for easy movement. Made of high quality MDF with wood effect printed and black powder coated steel frame. Stylish and functional, this trolley is perfect for your kitchen, living room and other places that need extra organization. Product Details Material: MDF, steel."
82,1911,Household,# The Silky Beans 2 KG Premium A-Grade for Bean Bag Filler/Refill/Filling.
85,2045,Household,"Kawachi Folding Zero Gravity Relax Chair with Adjustable Headrest and Multipurpose Laptop Table, Standard (Brown, K356) Product Features  zero gravity chairs are designed with comfort in mind that they're widely used not only as camping, patio and pool furniture, but in beauty salons and offices all across the world.  progressive multi-adjustments from upright sitting to reclining positions / two stabilizer levers securely keep the chair in the desired position  soft padded, long wearing, tear proof poly cotton canvas with high density foam padding filing suspended by replaceable elastic laces.  they are equipped with removable/adjustable padded headrests, and they also comes with removable / adjustable padded headrests.  anti-gravity recliner has a steel suspension frame to ease back tension  angle lock allows you lock in any reclining angle from sitting up to the ""zero gravity"" position  support for the mattress is provided by a replaceable elastic cord, creating a chair that immediately adjusts to your body's size Description  Powder Coated Metal Frame  The seats of the recliners are made from UV-resistant mesh material  Foldable for easy transportation  Weight carrying capacity: 300lbs.  Chair Weight: 20 lbs Dimension  Size: 44inch in Height and 25inch in Width  Actual Seating Width: 19inch  Fully Reclined Size: 72inch  Folded: 38 x 25 x 6 in Inches"
86,2049,Household,"Story@Home Folding Portable Lounge Chair, Red Multi-purpose design that can serve as a outdoor chair or flat cot. Used not only as camping, patio and courtyard, office and beach. Adjustable removable pillow included is a removable, adjustable pillow, great for use as a headrest or for the perfect lumbar support. Easy to fold up and store, please use it by instructions, change the chair to bed or fold up to take and store. Maybe a little heavy, not lightweight, please take care. Do not let it be exposure in the sunshine or rainy days for a long time."
87,2065,Household,Smart Shelter Super Strong Folding Rest/Relax Outdoor and Indoor Chair(with Foam Padded Cushions) (100% Metal Body) Smart Shelter Folding Relax Outdoor and Indoor Chair is the perfect way to relax. Its super strong design makes it the most durable chair available in the market. The chair comes with 2 padded cushions for great comfort. Its unique foldable design makes it Indoor as well as Outdoor use chair.
88,2071,Household,Worthy Shoppee Wooden & Iron Rocking Chair (Multi-Color) Rocking Chair Seat folding This Rocking Chair is fully Portable & Easy to Dismantle. Easy to Carry from one place to another. Relax your Back Pain & Heals your mind while rolling on it.
90,2104,Household,"DMI Safety Footstool, Step Stool, Small Non-Slip Step Stool, Black DMI SAFETY FOOTSTOOL, STEP STOOL, SMALL NON-SLIP STEP STOOL Get the extra height you need with stability and safety you can count on. DMI FOOTSTOOL IS GREAT FOR: Stepping up to reach high cupboards Stepping up into bed Stepping up into vehicles Retrieving objects that are out of reach STEP STOOL FEATURES: Heavy duty chrome plated steel tubing for added stability Non-slip textured matting Light weight design is easy to lift and move around DMI SMALL STEP STOOL SPECIFICATIONS: 12 by 9 by 16 inches Step height 9 inches Recommended maximum weight is 300 pounds WEIGHT: 5 pounds COLOR: Black Contains latex WARRANTY AND GUARANTEE: Amazon Exclusive Limited warranty may apply. Please see product for additional details. Click Add To Cart Today!"
91,2109,Household,SPA 10Pcs 13X10X7Mm Chair Leg Table Crutch Feet Stools Furniture Feet Rubber Prote Description 10pcs 13x10x7mm chair leg table crutch feet stools furniture feet rubber protector
92,2120,Household,SODIALRModern Luxury Upholstered Footstool Round Pouffe Stool + Wooden Leg Pat Sodial is a registered trademark. Only authorized seller of sodial can sell under sodial listings. Our products will enhance your experience to unparalleled inspiration. Sodialr modern luxury upholstered footstool round pouffe stool + wooden leg patternround fabricbig checkered4 legs color big checkered4 legs patternroundsize28*28*28cmit is so small that it can be placed anywhereit will also fit any style of room or other furniture because of its neutral palette and beautiful design. Pastoral style romantic fashionrobust and stablematerial solid wood + linen cotton washable linen cotton package contents1*stoolnote light shooting and different displays may cause the color of the item in the picture a little different from the real thing. The measurement allowed error is +/- 1-3cm
93,2123,Household,SODIALRModern Luxury Upholstered Footstool Pouffe Stool + Wooden Leg Patterns Sodial is a registered trademark. Only authorized seller of sodial can sell under sodial listings. Our products will enhance your experience to unparalleled inspiration. Sodialr modern luxury upholstered footstool pouffe stool + wooden leg patternsquare fabricbig checkered4 legs color big checkered4 legs patternsquaresize28*28*28cmit is so small that it can be placed anywhereit will also fit any style of room or other furniture because of its neutral palette and beautiful design. Pastoral style romantic fashionrobust and stablematerial solid wood + linen cotton washable linen cotton package contents1*stoolnote light shooting and different displays may cause the color of the item in the picture a little different from the real thing. The measurement allowed error is +/- 1-3cm
96,2149,Household,"Allium Outdoor Inflatable Hangout Portable Bag Lounger Polyster Fabric Suitable for Camping Beach Couch Inflatable Lazy Sofa Allium Outdoor Inflatable Hangout Portable Bag Lounger Polyster Fabric Suitable for Camping Beach Couch Inflatable Lazy Sofa  Features:  Inflatable Lamzac Hangout Sleeping Bags Made of polyester fabrics. Solid and durable, it can bear 180 GM most. Lightweight and portable, convenient to take it to anywhere. It can be used as your sleeping bed and sofa for outdoor activities. It will stay inflated about half of a day if someone is sleeping on it. Perfect for camping, beach swimming or any other outdoor activities Color:Yellow/Green/Skyblue/Purple/Black/Rose/Pink Material: Polyester  Package includes:   1 Pcs*Inflatable Lamzac Hangout Sleeping Bags   ."
97,2225,Household,"HM Service Cane Sofa Set with Table,3+1+1 (Brown) Cane sofa set with table (Type - 3 Sitter + 2 No. Single Chair + 1 Center Table) sofa set cushion size (L x B x H) inches : sofa couch : length : 62"" breath : 19"" height : 35"" chair : length : 24.5"" breath : 19"" height : 35"" table : length : 32.5"" breath : 19.5"" height : 20.5"" features : looking, light weight, eco-friendly, and handicraft work of specialized rural artisans. Disclaimer - table glass not included (Breakable). The biggest advantage is that there is no maintenance and all you have to do is just polish it a little once in a while."
98,2279,Household,"Adorn India Polyester Blend Flora Sofa Cum Bed (Beige) Flora sofa cumbed,the new modern design sofa with colourfull combination.this sofa will make your home look beautiful.the new tufted design sofa bed comes with colourfull cushion and bedding that is smooth and comfy.easy press clack spring indian mechanism unfolds the sofa into a bed in an instant with ease.an extra seating for a single person with storage drawer in it to keep some stuff.this sofa is distinctively design and manufactured using raw material such as,solid wood, high density foam & fiber,velvet and chrome legs and experienced manpower."
99,2291,Household,"Furny Limo Three Seater Sofa (Brown) Size:3S   Furny owns the trademarks : FabHomeDecor and Furny products are manufactured at our facility at Bhiwandi, Mumbai. Buyers are advised to purchase directly from Furny and not from other unauthorized fraud sellers who have tagged themselves on Amazon to take free advantage of our brand name."
