,count,diff_srv_rate,dst_bytes,dst_host_count,dst_host_diff_srv_rate,dst_host_rerror_rate,dst_host_same_src_port_rate,dst_host_same_srv_rate,dst_host_serror_rate,dst_host_srv_count,dst_host_srv_diff_host_rate,dst_host_srv_rerror_rate,dst_host_srv_serror_rate,duration,flag_REJ,flag_RSTO,flag_RSTR,flag_S0,flag_SF,flag_SH,hot,is_guest_login,land,last_flag,logged_in,num_access_files,num_compromised,num_failed_logins,num_file_creations,num_root,num_shells,protocol_type_icmp,protocol_type_tcp,protocol_type_udp,rerror_rate,root_shell,same_srv_rate,serror_rate,service_courier,service_csnet_ns,service_discard,service_domain_u,service_eco_i,service_ecr_i,service_finger,service_ftp,service_ftp_data,service_http,service_imap4,service_iso_tsap,service_ldap,service_mtp,service_other,service_pop_3,service_private,service_smtp,service_systat,service_telnet,service_uucp,src_bytes,srv_count,srv_diff_host_rate,srv_rerror_rate,srv_serror_rate,su_attempted,urgent,wrong_fragment,prediction
21,1,0.0,0,255,0.01,0.0,0.01,0.34,1.0,87,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,1.0,0,0,0,0
22,17,0.0,1823,255,0.0,0.0,0.0,1.0,0.0,255,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,196,17,0.0,0.0,0.0,0,0,0,1
23,17,0.0,1816,36,0.0,0.0,0.03,1.0,0.0,255,0.02,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,277,18,0.11,0.0,0.0,0,0,0,1
24,116,0.07,0,255,0.06,1.0,0.0,0.03,0.0,8,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,1.0,0,0.07,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.0,1.0,0.0,0,0,0,0
25,273,0.06,0,255,0.06,1.0,0.0,0.05,0.0,13,0.0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,1.0,0,0.05,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.0,1.0,0.0,0,0,0,0
26,22,0.0,6442,180,0.0,0.0,0.01,1.0,0.0,255,0.01,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,294,46,0.11,0.0,0.0,0,0,0,1
27,7,0.0,440,255,0.0,0.0,0.0,1.0,0.0,255,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,300,7,0.0,0.0,0.0,0,0,0,1
28,511,0.0,0,46,0.0,0.0,1.0,1.0,0.0,59,0.14,0.0,0.0,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0.0,0,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,511,0.0,0.0,0.0,0,0,0,0
29,511,0.0,51,255,0.0,0.0,0.83,1.0,0.0,255,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54,511,0.0,0.0,0.0,0,0,0,1
30,12,0.0,1,241,0.01,0.07,0.0,0.99,0.0,238,0.0,0.07,0.0,805,0,0,1,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,1,0,1.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,76944,12,0.0,1.0,0.0,0,0,0,1
31,1,0.0,281,158,0.06,0.0,0.01,0.52,0.01,82,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,720,2,1.0,0.0,0.0,0,0,0,1
32,15,0.0,19794,20,0.0,0.0,0.05,1.0,0.05,255,0.02,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,301,15,0.0,0.0,0.0,0,0,0,1
33,40,0.38,1,255,0.58,0.01,0.99,0.01,0.0,3,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0,0.08,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0.0,0.0,0.0,0,0,0,0
34,483,1.0,0,255,1.0,0.96,0.0,0.0,0.0,1,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,0,0.92,0,0.0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,1.0,0.0,0,0,0,0
35,2,1.0,44,185,0.03,0.89,0.01,0.24,0.01,59,0.03,0.95,0.0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,1.0,0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,0.0,0,0,0,0
36,11,0.0,12894,255,0.0,0.0,0.0,1.0,0.0,255,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,209,11,0.0,0.0,0.0,0,0,0,1
37,1,0.0,688,53,0.08,0.0,0.02,0.51,0.0,27,0.0,0.0,0.0,8,0,0,0,0,1,0,4,0,0,1,1,0,0,0,4,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,220,1,0.0,0.0,0.0,0,0,0,1
38,113,0.0,71,255,0.01,0.0,0.0,1.0,0.0,254,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0.0,0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,113,0.0,0.0,0.0,0,0,0,1
39,15,0.0,0,203,0.01,0.0,0.38,0.38,0.0,114,0.02,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,88382,15,0.0,0.0,0.0,0,0,0,1
40,144,0.06,0,255,0.06,0.0,0.0,0.03,1.0,8,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,0.0,0,0.06,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0.0,0.0,1.0,0,0,0,0
41,13,0.0,4968,13,0.0,0.0,0.08,1.0,0.0,255,0.01,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,277,13,0.0,0.0,0.0,0,0,0,1
42,29,0.0,2715,29,0.0,0.0,0.03,1.0,0.03,255,0.04,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.03,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,321,37,0.08,0.0,0.05,0,0,0,1
43,49,0.0,3228,255,0.0,0.0,0.0,1.0,0.0,255,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,335,50,0.04,0.0,0.0,0,0,0,1
44,266,0.06,0,255,0.06,1.0,0.0,0.03,0.0,8,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,1.0,0,0.03,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0.0,1.0,0.0,0,0,0,0
45,8,0.0,3236,255,0.0,0.0,0.0,1.0,0.0,255,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,234,21,0.1,0.0,0.0,0,0,0,1
46,281,0.06,0,255,0.07,0.0,0.0,0.02,1.0,6,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,0,0.0,0,0.02,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0.0,0.0,1.0,0,0,0,0
47,4,0.0,8314,255,0.01,0.06,0.0,0.98,0.0,250,0.0,0.06,0.0,0,0,0,0,0,1,0,2,0,0,12,1,0,1,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54540,24,0.08,0.0,0.0,0,0,0,1
48,1,0.0,0,91,0.03,0.0,0.01,0.34,1.0,86,0.03,0.0,1.0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0.92,0.67,0.33,0,0,0,0
49,68,0.0,45,255,0.0,0.0,0.26,1.0,0.0,255,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,46,68,0.0,0.0,0.0,0,0,0,1
50,3,0.0,488,3,0.0,0.0,0.33,1.0,0.0,156,0.04,0.0,0.01,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,318,16,0.12,0.0,0.0,0,0,0,1
51,1,0.0,4926,255,0.02,0.0,0.0,0.95,0.0,241,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,256,41,0.07,0.0,0.0,0,0,0,1
52,239,0.06,0,255,0.07,1.0,0.0,0.03,0.0,7,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,1.0,0,0.03,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0.0,1.0,0.0,0,0,0,0
53,201,0.08,0,255,0.08,1.0,0.0,0.01,0.0,3,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,1.0,0,0.01,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0.0,1.0,0.0,0,0,0,0
54,1,0.0,599,255,0.02,0.44,0.0,0.15,0.0,37,0.0,0.0,0.0,282,0,0,0,0,1,0,2,1,0,13,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,160,1,0.0,0.0,0.0,0,0,0,1
55,1,0.0,509,21,0.0,0.0,0.05,1.0,0.0,255,0.04,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,229,1,0.0,0.0,0.0,0,0,0,1
56,280,0.06,0,255,0.06,1.0,0.0,0.03,0.0,8,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,1.0,0,0.03,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0.0,1.0,0.0,0,0,0,0
57,2,0.0,146,9,0.0,0.0,0.11,1.0,0.0,9,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,105,2,0.0,0.0,0.0,0,0,0,1
58,1,0.0,44,255,0.03,0.12,0.0,0.85,0.33,217,0.0,0.06,0.39,7428,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0,0,0,1
59,8,0.0,396,255,0.0,0.0,0.0,1.0,0.0,255,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,282,8,0.0,0.0,0.0,0,0,0,1
60,1,0.0,93,255,0.02,0.0,0.0,0.98,0.0,249,0.0,0.0,0.0,4,0,0,0,0,1,0,0,0,0,18,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,1,0.0,0.0,0.0,0,0,0,1
61,2,0.0,0,7,0.29,0.0,0.86,0.86,0.0,10,0.2,0.0,0.0,280,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,283618,2,0.0,0.0,0.0,0,0,0,1
62,3,0.0,2239,255,0.02,0.0,0.0,0.77,0.0,197,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,233,3,0.0,0.0,0.0,0,0,0,1
63,2,0.0,8712,255,0.0,0.0,0.0,1.0,0.0,255,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,257,20,0.2,0.0,0.0,0,0,0,1
64,412,1.0,0,255,0.96,0.89,0.0,0.0,0.1,1,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0.83,0,0.0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0,0,0,0
65,30,0.0,645,255,0.0,0.0,0.0,1.0,0.0,255,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,214,30,0.0,0.0,0.0,0,0,0,1
66,4,1.0,0,106,0.05,0.91,0.01,0.29,0.02,85,0.02,0.67,0.0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,1.0,0,0.25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0.83,1.0,0.0,0,0,0,0
67,109,0.06,0,255,0.07,1.0,0.0,0.05,0.0,13,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,1.0,0,0.12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0.0,1.0,0.0,0,0,0,0
68,114,0.06,0,255,0.05,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0.0,0,0.01,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,1.0,0,0,0,0
69,19,0.0,651,255,0.0,0.0,0.0,1.0,0.0,255,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,203,19,0.0,0.0,0.0,0,0,0,1
70,216,0.06,0,255,0.07,1.0,0.0,0.05,0.0,14,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,1.0,0,0.06,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0.0,1.0,0.0,0,0,0,0
71,1,0.0,83,61,0.07,0.0,0.02,0.8,0.0,146,0.01,0.01,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1.0,0.0,0.0,0,0,0,1
72,2,0.0,484,10,0.0,0.0,0.1,1.0,0.0,255,0.05,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,307,2,0.0,0.0,0.0,0,0,0,1
73,8,0.0,1667,85,0.0,0.0,0.01,1.0,0.0,253,0.04,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,320,30,0.17,0.0,0.0,0,0,0,1
74,251,0.06,0,255,0.06,1.0,0.0,0.01,0.0,3,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,0,1.0,0,0.01,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,1.0,0.0,0,0,0,0
75,1,0.0,430,40,0.0,0.0,0.03,1.0,0.0,255,0.04,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,215,1,0.0,0.0,0.0,0,0,0,1
76,11,0.0,3691,81,0.0,0.0,0.01,1.0,0.0,255,0.03,0.0,0.0,0,0,0,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,358,11,0.0,0.0,0.0,0,0,0,1
